date	pool	amount1	amount2
2025-07-12	ETH+UNDEAD	0.5335	618250
2025-07-16	ETH+UNDEAD	0	24038
2025-07-17	ETH+UNDEAD	0.3110	600,000
2025-07-25	ETH+UNDEAD	0.3682	625,000
2025-08-04	ETH+UNDEAD	0.6431	500,000
2025-08-20	ETH+UNDEAD	0.0000	783023
2025-08-31	ETH+UNDEAD	0.0000	100200
2025-09-28	ETH+UNDEAD	0.0000	18398
2025-10-11	ETH+UNDEAD	0.0306	49308
