date	pool	amount1	amount2
2025-07-17	BTC+UNDEAD	0.0087	600000
2025-07-25	BTC+UNDEAD	0.01175	625000
2025-08-03	BTC+UNDEAD	0.00914	500000
2025-08-19	BTC+UNDEAD	0.00000	783023
2025-08-31	BTC+UNDEAD	0.00000	100200
2025-09-28	BTC+UNDEAD	0.00000	18398
