date	pool	amount1	amount2
2025-07-07	AVAX+UNDEAD	5.0000	50000
2025-07-11	AVAX+UNDEAD	75.3029	625823.0072
2025-07-18	AVAX+UNDEAD	31.5750	400000
2025-07-25	AVAX+UNDEAD	58.0183	625000
2025-08-04	AVAX+UNDEAD	102.6252	500000
2025-08-20	AVAX+UNDEAD	0.0000	783023
2025-08-31	AVAX+UNDEAD	0.0000	100200
2025-09-28	AVAX+UNDEAD	0.0000	18398
2025-10-25	AVAX+UNDEAD	18.5817	150000
