date	pool	amount1	amount2
2025-07-12	UNDEAD+USDC	601,195.7797	1495.0000
2025-07-14	UNDEAD+USDC	0	202.32
2025-07-15	UNDEAD+USDC	371248	417.87
2025-07-18	UNDEAD+USDC	400000	722.61
2025-07-25	UNDEAD+USDC	625000	1364.38
2025-08-04	UNDEAD+USDC	500000	1680.00
2025-08-20	UNDEAD+USDC	783024	0.00
2025-08-31	UNDEAD+USDC	100200	0.00
2025-09-28	UNDEAD+USDC	18398	0.00
