date	pool	amount1	amount2
2025-07-30	BTC+AVAX	0.0860	434.9462
2025-07-31	BTC+AVAX	0.03333	0
2025-08-19	BTC+AVAX	0.30000	0
2025-10-25	BTC+AVAX	0.00151	8.5098
2025-11-05	BTC+AVAX	0.00467	57.6712
