name	dapp	pool	p1	p2	staker	hash	alias	addy	pool hash	activated	href	incept	ROI	APR	TVL	BTC $	ETH $	AVAX $	HBAR $	USDC $	UNDEAD $
BTC+ETH	pools	BTC+ETH	BTC	ETH	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0x97796a6ee7b185C991C4247b2dba943653BEa5b6	0	2025-08-31	pools.html	2025-08-31	19.67%	113.93%	$1,413.09	$729.14	$683.96	$0.00	$0.00	$0.00	$0.00
BTC+AVAX	pools	BTC+AVAX	BTC	AVAX	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0xE93B9A5Fd164B892289fCDa6F2830b6f88B14dc6	0	2025-08-31	pools.html	2025-08-31	-5.24%	-30.36%	$324.85	$166.57	$0.00	$158.28	$0.00	$0.00	$0.00
BTC+USDC	pools	BTC+USDC	BTC	USDC	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0xAc436d1Ba51c9cf206818b331c9dAA1ca368Ab66	0	2025-08-31	pools.html	2025-08-31	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
BTC+UNDEAD	pools	BTC+UNDEAD	BTC	UNDEAD	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0xD0037572b3906e79F2F87CF47F65DDeBdE46Cc33	0	2025-08-31	pools.html	2025-08-31	-7.28%	-42.16%	$313.29	$51.29	$0.00	$0.00	$0.00	$0.00	$261.99
ETH+UNDEAD	pools	ETH+UNDEAD	ETH	UNDEAD	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0x28695b6193735f1dDa134864B653ff3a7466D107	0	2025-08-31	pools.html	2025-08-31	-9.03%	-52.29%	$307.38	$0.00	$21.27	$0.00	$0.00	$0.00	$286.10
AVAX+UNDEAD	pools	AVAX+UNDEAD	AVAX	UNDEAD	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0x0BA882a9E2695fCcAD7F52803CB6AE685a71AE44	0	2025-08-31	pools.html	2025-08-31	-9.44%	-54.68%	$305.99	$0.00	$0.00	$15.02	$0.00	$0.00	$290.96
UNDEAD+USDC	pools	UNDEAD+USDC	UNDEAD	USDC	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0xd4201758449aa32240Cfc9343b5D942B9E61B524	0	2025-08-31	pools.html	2025-08-31	-8.52%	-49.37%	$309.08	$0.00	$0.00	$0.00	$0.00	$25.85	$283.23
HBAR+USDC	pools	HBAR+USDC	HBAR	USDC	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	τ	0x44b90502401d39859F2539dE423340Ba66c8B14B	0.0.9952359	2025-10-30	pools.html	2025-10-30	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
