name	dapp	pool	p1	p2	staker	alias	addy	activated	href	incept	ROI	APR	TVL	BTC $	ETH $	AVAX $	USDC $	UNDEAD $
BTC+ETH	pools	BTC+ETH	BTC	ETH	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	ω	0x97796a6ee7b185C991C4247b2dba943653BEa5b6	2025-07-31	pools.html	2025-07-31	25.75%	114.63%	$510.07	$134.29	$375.79	$0.00	$0.00	$0.00
BTC+AVAX	pools	BTC+AVAX	BTC	AVAX	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	ω	0xE93B9A5Fd164B892289fCDa6F2830b6f88B14dc6	2025-07-31	pools.html	2025-07-31	3.32%	14.78%	$130.57	$130.57	$0.00	0	$0.00	$0.00
BTC+USDC	pools	BTC+USDC	BTC	USDC	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	ω	0xAc436d1Ba51c9cf206818b331c9dAA1ca368Ab66	2025-07-31	pools.html	2025-07-31	-7.45%	-33.17%	$18.65	$18.65	$0.00	$0.00	$0.00	$0.00
BTC+UNDEAD	pools	BTC+UNDEAD	BTC	UNDEAD	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	ω	0xD0037572b3906e79F2F87CF47F65DDeBdE46Cc33	2025-07-31	pools.html	2025-07-31	21.93%	97.62%	$85.08	$0.00	$0.00	$0.00	$0.00	$85.08
ETH+UNDEAD	pools	ETH+UNDEAD	ETH	UNDEAD	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	ω	0x28695b6193735f1dDa134864B653ff3a7466D107	2025-07-31	pools.html	2025-07-31	18.31%	81.51%	$80.56	$0.00	$21.45	$0.00	$0.00	$59.11
AVAX+UNDEAD	pools	AVAX+UNDEAD	AVAX	UNDEAD	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	ω	0x0BA882a9E2695fCcAD7F52803CB6AE685a71AE44	2025-07-31	pools.html	2025-07-31	18.68%	83.13%	$72.95	$0.00	$0.00	$16.13	$0.00	$56.82
UNDEAD+USDC	pools	UNDEAD+USDC	UNDEAD	USDC	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	ω	0xd4201758449aa32240Cfc9343b5D942B9E61B524	2025-07-31	pools.html	2025-07-31	-19.73%	-87.81%	$52.62	$0.00	$0.00	$0.00	$10.15	$42.47
