Pastel colors from https://stephcorrigan.com/pastel-color-palettes/

Cotton candy: #F2C4DE
Robin egg blue: #71B1D9
Baby blue: #AED8F2
Cornflower yellow: #F2DEA2
Dusty pink: #F2CDC4
