Echo	0x0BA882a9E2695fCcAD7F52803CB6AE685a71AE44	inv	pool limit:	1,000,000	2024-11-29	non-pivot
						
date	staker	UNDEAD	AMP	total	total %	re-ratio
2024-11-04	0xf372A0795a23E2f22695efec8353E70D7f2C9e57	140215	140,215	280430	85.37%	85.37%
2024-11-10	0xf372A0795a23E2f22695efec8353E70D7f2C9e57	24038	24,038	48076	14.63%	14.63%
						
						
						
						
						
						
	total:	164253	164,253	328506	100.00%	100.00%
