date	pivot	close	tx_id	from	from quote	to	to quote	gas estimated	gas token	gas price	gas	gas actual	gas $	rec	trade	vol	keeping	USDC $	USDC $ total	new to-computed	new to-actual	commission	gain	HBAR $	HBAR $ total	gain, total $	ROI	APR	distributed	or:	token	payback	or:	token
2025-10-30	1	1	https://hashscan.io/mainnet/transaction/1761859089.580629000	USDC	$1.00	HBAR	$0.1898	$0.20	HBAR	$0.19	1.0537408	0.926457	$0.18	248.82	248.81	$248.81	0.01	$0.01	$0.01	1311	1295	3.24684481	156	$29.65	$29.65	$29.66	13.76%	132.21%	$23.73	125	HBAR	$0.00	0	HBAR
2025-12-15	3	1	https://hashscan.io/mainnet/transaction/1765837090.193703899	USDC	$1.00	HBAR	$0.1190	$0.20	HBAR	$0.12	1.6806723	1.14304	$0.14	496.48	493.239481	$493.24	-3.25	-$3.25	-$3.24	4172	4371	1.14304	1,800	$214.25	$214.25	$211.00	69.43%	550.89%	$168.80	1418	HBAR	$0.00	0	HBAR
