date	rank	quote	market cap	24-hr volume	24-hr volume δ	vol δ%	price δ%	vol ^ 5%	vol ^ 10%	price ^ 10%	correspondence 5%	correspondence 10%	n
2025-06-10	7753	$0.002945	$43,800	$200,963	-$28,470	-14.17%	4.14%	0	0	0	0	0	199
2025-06-09	7730	$0.002823	$42,798	$229,433	$5,980	2.61%	-1.45%	0	0	0	0	0	198
2025-06-08	7660	$0.002864	$42,862	$223,453	$29,664	13.28%	-2.16%	1	1	0	0	0	197
2025-06-07	7629	$0.002926	$43,884	$193,789	$40,473	20.89%	0.27%	1	1	0	0	0	196
2025-06-06	7568	$0.002918	$43,761	$153,316	-$7,367	-4.81%	-3.70%	0	0	0	0	0	195
2025-06-05	7548	$0.003026	$45,392	$160,683	-$64,016	-39.84%	-0.59%	0	0	0	0	0	194
2025-06-04	7562	$0.003044	$45,655	$224,699	$16,332	7.27%	0.49%	1	0	0	0	0	193
2025-06-03	7554	$0.003029	$45,857	$208,367	-$3,564	-1.71%	4.29%	0	0	0	0	0	192
2025-06-02	7570	$0.002899	$43,483	$211,931	$926	0.44%	-1.02%	0	0	0	0	0	191
2025-06-01	7573	$0.002929	$43,929	$211,005	$926	0.44%	-1.01%	0	0	0	0	0	190
2025-05-31	7575	$0.002958	$44,375	$210,079	$926	0.44%	-1.00%	0	0	0	0	0	189
2025-05-30	7578	$0.002988	$44,821	$209,153	-$11,855	-5.67%	-1.57%	0	0	0	0	0	188
2025-05-29	7596	$0.003035	$45,529	$221,008	$22,875	10.35%	2.08%	1	1	0	0	0	187
2025-05-28	7622	$0.002972	$44,583	$198,133	-$21,317	-10.76%	1.01%	0	0	0	0	0	186
2025-05-27	7636	$0.002942	$44,124	$219,450	$32,251	14.70%	2.21%	1	1	0	0	0	185
2025-05-26	7654	$0.002877	$43,170	$187,199	-$41,253	-22.04%	-0.03%	0	0	0	0	0	184
2025-05-25	7603	$0.002878	$43,174	$228,452	$9,022	3.95%	-0.17%	0	0	0	0	0	183
2025-05-24	7621	$0.002883	$43,247	$219,430	$21,927	9.99%	0.55%	1	0	0	0	0	182
2025-05-23	7659	$0.002867	$42,998	$197,503	$23,043	11.67%	2.79%	1	1	0	0	0	181
2025-05-22	7664	$0.002787	$41,808	$174,460	$15,072	8.64%	10.23%	1	0	1	1	0	180
2025-05-21	7744	$0.002502	$37,530	$159,388	$6,218	3.90%	1.88%	0	0	0	0	0	179
2025-05-20	7743	$0.002455	$36,823	$153,170	-$3,897	-2.54%	-0.51%	0	0	0	0	0	178
