token	amount	quote	TVL	%
BTC	0.0000	$76,630.23	$0.00	0.00%
ETH	2.9743	$3,211.53	$9,552.05	6.76%
BNB	0.1000	$623.03	$62.30	0.04%
AVAX	0.0000	$30.11	$0.00	0.00%
QI	0.0000	$0.0155	$0.0000	0.00%
UNDEAD	9855914	$0.01336	$131,675.01	93.20%
