date	+BTC	+ETH	+USDC	+ADA	break	BTC	BTC quote	BTC $	BTC %	ETH	ETH quote	ETH $	ETH %	USD	USD quote	USD $	USD %	ADA	ADA quote	ADA $	ADA %	TOTAL	deposits/withdrawals	yields	yields, total	liquidations	payouts	gains	gains, total	total δ
2026-03-14	0.00000	0.00000	0.00	0.00	|	0.03609	$70,765.00	$2,553.84	17.89%	1.1007	$2,076.72	$2,285.92	16.01%	2,388.35	$1.00	$2,388.35	16.73%	27,017.27	$0.2608	$7,046.10	49.36%	$14,274.22	$0.00	$0.00	$0.00	$0.00	370.79	$96.70	$96.70	$1,271.63	-$362.99
2026-03-13	0.00000	0.00000	0.00	0.00	|	0.03609	$71,427.00	$2,577.73	17.61%	1.1007	$2,119.70	$2,333.23	15.94%	2,388.35	$1.00	$2,388.35	16.32%	27,017.27	$0.2716	$7,337.89	50.13%	$14,637.21	$0.00	$0.00	$0.00	$0.00	370.79	$100.71	$100.71	$1,174.93	$368.05
2026-03-12	0.00000	0.00000	0.00	0.00	|	0.03609	$70,364.00	$2,539.37	17.80%	1.1007	$2,060.72	$2,268.31	15.90%	2,388.35	$1.00	$2,388.35	16.74%	27,017.27	$0.2618	$7,073.12	49.57%	$14,269.15	$0.00	$0.00	$0.00	$0.00	370.79	$97.07	$97.07	$1,074.22	$91.21
2026-03-11	0.00000	0.00000	0.00	0.00	|	0.03609	$69,197.00	$2,497.25	17.61%	1.1007	$2,021.03	$2,224.62	15.69%	2,388.35	$1.00	$2,388.35	16.85%	27,017.27	$0.2616	$7,067.72	49.85%	$14,177.95	$0.00	$0.00	$0.00	$0.00	370.79	$97.00	$97.00	$977.15	-$135.73
2026-03-10	0.00000	0.00000	0.00	0.00	|	0.03609	$70,532.00	$2,545.43	17.78%	1.1007	$2,058.84	$2,266.24	15.83%	2,388.35	$1.00	$2,388.35	16.69%	27,017.27	$0.2633	$7,113.65	49.70%	$14,313.67	$0.00	$0.00	$0.00	$0.00	370.79	$97.63	$97.63	$880.15	$388.66
2026-03-09	0.00000	0.00000	0.00	0.00	|	0.03609	$67,881.00	$2,449.76	17.59%	1.1007	$1,998.84	$2,200.20	15.80%	2,388.35	$1.00	$2,388.35	17.15%	27,017.27	$0.2549	$6,886.70	49.46%	$13,925.01	$0.00	$0.00	$0.00	$0.00	370.79	$94.51	$94.51	$782.52	$75.36
2026-03-08	0.00000	0.00000	0.00	0.00	|	0.03609	$67,502.00	$2,436.08	17.59%	1.1007	$1,950.17	$2,146.63	15.50%	2,388.35	$1.00	$2,388.35	17.24%	27,017.27	$0.2546	$6,878.60	49.67%	$13,849.66	$0.00	$0.00	$0.00	$0.00	370.79	$94.40	$94.40	$688.01	-$143.79
2026-03-07	0.00000	0.00000	0.00	0.00	|	0.03609	$68,030.00	$2,455.13	17.54%	1.1007	$1,982.49	$2,182.20	15.59%	2,388.35	$1.00	$2,388.35	17.07%	27,017.27	$0.2579	$6,967.75	49.79%	$13,993.44	$0.00	$0.00	$0.00	$0.00	370.79	$95.63	$95.63	$593.60	-$290.31
2026-03-06	0.00000	0.00000	0.00	0.00	|	0.03609	$69,332.00	$2,502.12	17.52%	1.1007	$2,024.37	$2,228.30	15.60%	2,388.35	$1.00	$2,388.35	16.72%	27,017.27	$0.2652	$7,164.98	50.16%	$14,283.76	$0.00	$0.00	$0.00	$0.00	370.79	$98.33	$98.33	$497.98	-$441.63
2026-03-05	0.00000	0.00000	0.00	0.00	|	0.03609	$72,347.00	$2,610.93	17.73%	1.1007	$2,113.19	$2,326.07	15.80%	2,388.35	$1.00	$2,388.35	16.22%	27,017.27	$0.2739	$7,400.03	50.25%	$14,725.38	$0.00	$0.00	$0.00	$0.00	370.79	$101.56	$101.56	$399.64	$188.74
