opened	open	close	tx_id	from	from_blockchain	amount1	virtual	10% gain	quote1	val1	to	to_blockchain	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	val2	diff	δ	closed
2025-11-26	1	0	https://snowtrace.io/tx/0xd95e5dbb3c78f272855a6d901e24b4a478e5a3425237a4ba3501535b944477a9	BTC	Avalanche	0.0570	0	0.0627	$86,651.00	$4,939.11	ETH	Hedera	$2,904.08	1.7007	1.698174		AVAX	0.000968	$14.01	$0.01	1.6626	$4,828.32	-$110.78	-0.143	
2025-11-26	2	0	virtual swap	ETH	Avalanche	0	0.8475	0.9323	$2,904.08	$2,461.21	BTC	Hedera	$86,651.00	0.02840	0.02841		AVAX	0	$14.01	$0.00	0.027881825	$2,415.99	-$45.22	-0.143	
2025-11-28	3	0	https://snowtrace.io/tx/0xb69c600e93fdc8db5f3a580b257387563efad254115876b4319a39c29c48de4b	BTC	Avalanche	0.0550	0	0.0605	$91,525.00	$5,033.88	ETH	Hedera	$3,035.23	1.6585	1.642951		AVAX	0.000851	$14.87	$0.01	1.5533	$4,714.74	-$319.13	0.127	
2025-11-28	4	0	virtual swap	ETH	Avalanche	0	0.8225	0.9048	$3,035.23	$2,496.48	BTC	Hedera	$91,525.00	0.02728	0.02746		AVAX	0	$14.87	$0.00	0.02619389	$2,397.40	-$99.08	0.127	
2025-12-01	5	0	virtual swap	BTC	Avalanche	0	0.0277	0.0305	$89,617.00	$2,482.39	ETH	Hedera	$3,031.24	0.8189	0.814678		AVAX	0	$14.87	$0.01	0.7695	$2,332.44	-$149.95	-0.368	
2025-12-01	6	1	virtual swap	ETH	Avalanche	0	0.5688	0.6257	$3,031.24	$1,724.17	BTC	Hedera	$89,617.00	0.01924	0.01932		AVAX	0	$14.87	$0.00	0.01856	$1,663.29	-$60.88	-0.368	✅
