opened	pivot	close	tx_id	from	from_blockchain	amount1	virtual	10% gain	quote1	val1	to	to_blockchain	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	val2	diff	δ	δETH	δUNDEAD	closed
2025-07-21	18	13	https://snowtrace.io/tx/0x5ccd7ba78b20b85aa30c21a2e25030a4087d8e1323b4ba1a3fa8d7a687d611e3	ETH	Avalanche	0.132	0	0.1452	$3,815.10	$503.59	UNDEAD	Avalanche	$0.002229	225928	210801		AVAX	0.0024177	$25.72	$0.06	210801	$469.88	-$33.72	387012	0%	0%	✅
2025-07-22	19	0	https://snowtrace.io/tx/0x75f3dc2b5d9131f1f9044353161db5edf561b833539d0d4747fcbcadf13b1151	UNDEAD	Avalanche	118000	0	129800	$0.002165	$255.47	ETH	Avalanche	$3,703.74	0.06898	0.06635		AVAX	0.0018089	$25.44	$0.05	0.06635	$245.76	-$9.71	349380	0%	0%	*hedge
2025-07-22	20	14	https://snowtrace.io/tx/0x07d907994c829909ded7f4bb83c657e6966996a390f6a9bb9eabf26adcba45eb	ETH	Avalanche	0.0792	0	0.08712	$3,703.74	$293.34	UNDEAD	Avalanche	$0.002165	135490	135985		AVAX	0.0011736	$25.44	$0.03	135985	$294.41	$1.07	349380	0%	0%	✅
2025-07-25	21	0	https://snowtrace.io/tx/0x708c5164ccc8d87a58fff8b28a952e47f24ebee06369d0299adc1e79ffc10020	UNDEAD	Avalanche	128000	0	140800	$0.002183	$279.42	ETH	Avalanche	$3,705.12	0.07542	0.06939		AVAX	0.0026757	$23.84	$0.06	0.06939	$257.10	-$22.32	246885	0%	0%	*hedge
2025-07-25	22	15	virtual swap	ETH	Avalanche	0	0.138	0.1518	$3,705.12	$511.31	UNDEAD	Avalanche	$0.002183	234222	224080		AVAX	0.0000000	$23.84	$0.00	224080	$489.17	-$22.14	246885	0%	0%	✅
2025-07-26	23	0	https://snowtrace.io/tx/0x260cfa32c263acfb60819c2162b3ee642b4243ea5cd27e732086f83b26b472eb	UNDEAD	Avalanche	128000	0	140800	$0.002161	$276.61	ETH	Avalanche	$3,746.25	0.07384	0.06706		AVAX	0.0027520	$24.35	$0.07	0.06706	$251.23	-$25.38	255919	0%	0%	*hedge
2025-07-26	24	16	virtual swap	ETH	Avalanche	0	0.134	0.1474	$3,746.25	$502.00	UNDEAD	Avalanche	$0.002161	232299	229720		AVAX	0.0000000	$24.35	$0.00	229720	$496.43	-$5.57	255919	0%	0%	✅
2025-07-27	25	0	https://snowtrace.io/tx/0x67538d00565f78198692f1d0071e98848fe33e39cdfc6ae560f7b888896e5c0f	UNDEAD	Avalanche	131000	0	144100	$0.002031	$266.06	ETH	Avalanche	$3,825.86	0.06954	0.06509		AVAX	0.0042668	$24.94	$0.11	0.06509	$249.02	-$17.04	367702	0%	0%	*hedge
2025-07-27	26	17	virtual swap	ETH	Avalanche	0	0.13	0.143	$3,825.86	$497.36	UNDEAD	Avalanche	$0.002031	244885	245495		AVAX	0.0000000	$24.94	$0.00	245495	$498.60	$1.24	367702	0%	0%	✅
2025-08-03	27	18	https://snowtrace.io/tx/0x94ea89a74676e9f24925104f12af43e0a4fa00e6feed3fddfab4465dd5d8907d	UNDEAD	Avalanche	52500	0	57750	$0.018470	$969.68	ETH	Avalanche	$3,588.72	0.27020	0.28551		AVAX	0.0077510	$22.12	$0.17	0.28551	$1,024.62	$54.95	-639954	0%	0%	✅
2025-08-03	28	0	https://snowtrace.io/tx/0x1f2b573141626051eea3bc609ddd1a92ddd5ce963c5b16b2fb535c51b796177c	ETH	Avalanche	0.136	0	0.1496	$3,588.72	$488.07	UNDEAD	Avalanche	$0.018470	26425	24851		AVAX	0.0025821	$22.12	$0.06	24851	$458.99	-$29.07	-639954	0%	0%	*hedge
2025-08-12	29	19	https://snowtrace.io/tx/0x76d1e7b45a7ccd0cb3183f0e48fcc944a7b19f70a9ca4c064c9fb5752f40a3d7	UNDEAD	Avalanche	107500	0	118250	$0.009075	$975.56	ETH	Avalanche	$4,344.17	0.22457	0.21834		AVAX	0.0020175	$24.68	$0.05	0.21834	$948.52	-$27.04	-417034	0%	0%	✅
2025-08-12	30	0	https://snowtrace.io/tx/0xb9ef89a9d27a27797fe513169bace25370718afa023c115b8894b05c80ac978e	ETH	Avalanche	0.11	0	0.121	$4,344.17	$477.86	UNDEAD	Avalanche	$0.009075	52657	53536		AVAX	0.0019266	$24.68	$0.05	53536	$485.84	$7.98	-417034	0%	0%	*hedge
2025-08-15	31	20	https://snowtrace.io/tx/0xa94a715e3c388fbb89a50eb4b4bbcb4057b7263ab3fc2bdaa573cce8c0de556e	UNDEAD	Avalanche	128000	0	140800	$0.004137	$529.54	ETH	Avalanche	$4,644.40	0.11402	0.11293		AVAX	0.0023692	$23.98	$0.06	0.11293	$524.51	-$5.02	35670	0%	0%	✅
2025-08-15	32	0	virtual swap	ETH	Avalanche	0.0000	0.1129	0.1242	$4,644.40	$524.35	UNDEAD	Avalanche	$0.004137	126747	125998		AVAX	0.0000000	$23.98	$0.00	125998	$521.25	-$3.10	35670	0%	0%	
2025-08-20	33	20	https://snowtrace.io/tx/0xad6b7edf8a868c5bab4abcd8dfdc5c1ee7b0d2bec95768836ed9e7630c819922	UNDEAD	Avalanche	124000	0	136400	$0.004300	$533.20	ETH	Avalanche	$4,211.49	0.12661	0.11527		AVAX	0.0016105	$22.94	$0.04	0.11527	$485.48	-$47.72	75425	5.70%	-5.54%	*hedge
2025-08-20	34	0	virtual swap	ETH	Avalanche	0.0000	0.23	0.2530	$4,211.49	$968.64	UNDEAD	Avalanche	$0.004300	225266	236055		AVAX	0.0000000	$22.94	$0.00	236055	$1,015.04	$46.40	75425	0.00%	10.54%	
2025-09-03	35	21	https://snowtrace.io/tx/0xb267e68e39f6abb17ac49d1cbd65b7f7887c66ccf9e40c02dc12d0c498bcce07	UNDEAD	Avalanche	175000	0	192500	$0.002909	$509.08	ETH	Avalanche	$4,381.65	0.11618	0.11692		AVAX	0.0024292	$25.19	$0.06	0.11692	$512.30	$3.22	296570	5.49%	-9.23%	*hedge
2025-09-03	36	0	virtual swap	ETH	Avalanche	0.0000	0.23	0.2530	$4,381.65	$1,007.78	UNDEAD	Avalanche	$0.002909	346435	320835		AVAX	0.0000000	$25.19	$0.00	320835	$933.31	-$74.47	296570	-10.81%	16.92%	
