opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2026-02-27	1	0	virtual swap	2026-03-19	UNDEAD	Hedera	0	370519.13	$0.002427	$899.25	407571	HBAR	Hedera	9697	0	$0.09270	$898.91
2026-02-27	2	0	virtual swap	2026-03-28	HBAR	Hedera	0	8635.02	$0.08990	$776.29	9499	UNDEAD	Hedera	497500	0.00000	$0.001561	$776.60
2026-03-30	3	0	virtual swap	n/a	HBAR	Hedera	0	176060	$0.0905	$15,928.50	193666	UNDEAD	Hedera	9949965	0	$0.001601	$15,928.50
2026-03-30	4	0	https://hashscan.io/mainnet/transaction/1774931056.838244211	n/a	UNDEAD	Hedera	127157	0	$0.0016	$203.56	139873	HBAR	Hedera	2138	0.00000	$0.090472	$193.45
