opened	pivot	close	tx_id	from	amount1	virtual	10% gain	quote1	val1	to	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	sAVAX factor	as sAVAX	val2	diff	δ	δAVAX	δUNDEAD	closed
2025-07-07	1	8	https://snowtrace.io/tx/0xa3c7504e79c56b8e7f3a7b91ac7ebb554d0b82ae07f7a29fe9ff250069cf8816	AVAX	1	0	0.8924	$18.05	$18.05	UNDEAD	$0.002358	7657	7089		AVAX	0.0005977	$18.05	$0.01	7089	0.8113	0.8113	$16.72	-$1.34	-51	0%	0%	✅
2025-07-07	2	2	https://snowtrace.io/tx/0x68f5d6ea6c53a7dd031f1d0782ba57221f7673d00d3cbd70aa051f2bbf167943	UNDEAD	7000	0	7700	$0.002358	$16.51	AVAX	$18.05	0.91423	0.9669		AVAX	0.0008393	$18.05	$0.02	0.97	0.8113	0.7844	$17.46	$0.95	-51	0%	0%	✅
2025-07-09	3	8	https://snowtrace.io/tx/0xe9cb12f63f434a9856c3f4dcbd049d10575f736ca825fdc14095da4dffcfe290	AVAX	1.215805471	0	1.0850	$18.52	$22.52	UNDEAD	$0.002366	9516	8557		AVAX	0.0016897	$18.52	$0.03	8557	0.8113	0.9864	$20.25	-$2.27	128	0%	0%	✅
2025-07-09	4	1	https://snowtrace.io/tx/0xbfd3fc9a99bda741596244e5eef709bd8547e794925610102fce3f51f584576e	UNDEAD	7000	0	7700	$0.002366	$16.56	AVAX	$18.52	0.89433	0.9804		AVAX	0.0010279	$18.52	$0.02	0.98	0.8113	0.7954	$18.16	$1.59	128	0%	0%	✅
2025-07-12	5	8	virtual swap	AVAX	0	24	21.4183	$20.63	$495.12	UNDEAD	$0.002456	201596	168056		AVAX	0	$20.63	$0.00	168056	0.8113	19.4712	$412.75	-$82.37	586	0%	0%	✅
2025-07-12	6	3	https://snowtrace.io/tx/0xe24cb04d45515ed17f5fc897da25b32654547efa4984fd2bccd229af1ccb3af5	UNDEAD	84000	0	92400	$0.002456	$206.30	AVAX	$20.63	10.00	10.0503		AVAX	0.001890667562	$20.63	$0.04	10.0503	0.8113	8.1538	$207.34	$1.03	586	0%	0%	*hedge
2025-07-13	7	9	virtual swap	AVAX	0	24	21.4183	$21.66	$519.74	UNDEAD	$0.002468	210592	184108		AVAX	0	$21.66	$0.00	184108	0.8113	19.4712	$454.38	-$65.36	736	0%	0%	✅
2025-07-13	8	4	https://snowtrace.io/tx/0xd589c3d42565209ff9cf8d489d4a029a881ee4db486bdbbd1eeefb8fec913cf2	UNDEAD	82220	0	90442	$0.002468	$202.92	AVAX	$21.66	9.37	8.7500		AVAX	0.0007030110263	$21.66	$0.02	8.7500	0.8113	7.0988	$189.49	-$13.43	736	0%	0%	*hedge
2025-07-14	9	10	virtual swap	AVAX	0	23	20.5259	$21.73	$499.69	UNDEAD	$0.002499	199957	177966		AVAX	0	$21.73	$0.00	177966	0.8113	18.6599	$444.74	-$54.96	724	0%	0%	✅
2025-07-14	10	5	https://snowtrace.io/tx/0xb35ea815e49f6b478dc9647cd64de07651f9ccef8ec26b97bee61d62ba67e831	UNDEAD	100000	0	110000	$0.002499	$249.90	AVAX	$21.73	11.50	10.5971		AVAX	0.0006029387432	$21.73	$0.01	10.5971	0.8113	8.5974	$230.23	-$19.67	724	0%	0%	*hedge
2025-07-15	11	11	virtual swap	AVAX	0	25	22.3108	$20.96	$524.12	UNDEAD	$0.002476	211680	270606		AVAX	0	$20.96	$0.00	270606	0.8113	20.2825	$670.02	$145.90	411	0%	0%	✅
2025-07-15	12	6	https://snowtrace.io/tx/0x59d25fa08dbfee9658cb0adf0df06013e7081290057f828838a19de192de21a9	UNDEAD	150000	0	165000	$0.002476	$371.40	AVAX	$20.96	17.72	12.6434		AVAX	0.000858147454	$20.96	$0.02	12.6434	0.8113	10.2576	$265.07	-$106.33	411	0%	0%	*hedge
2025-07-16	13	12	virtual swap	AVAX	0	22	19.6335	$22.14	$487.04	UNDEAD	$0.002528	192660	244172		AVAX	0	$22.14	$0.00	244172	0.8113	17.8486	$617.27	$130.22	649	0%	0%	✅
2025-07-16	14	0	https://snowtrace.io/tx/0x97256574c04ab05a78bddcd365143ffe98b3b0b9daa8c140881047fc82e41285	UNDEAD	170000	0	187000	$0.002528	$429.76	AVAX	$22.14	19.41	12.0559		AVAX	0.006632075443	$22.14	$0.15	12.0559	0.8113	9.7809	$266.90	-$162.86	649	0%	0%	*hedge
2025-07-18	15	0	https://snowtrace.io/tx/0x16885ceaefc59146854885af3b89b1263ae5da0623c6bf39d177ed114b200a8c	UNDEAD	125000	0	137500	$0.002317	$289.63	AVAX	$23.80	12.17	10.6734		AVAX	0.02276223145	$23.80	$0.54	10.6734	0.8113	8.6593	$254.01	-$35.62	1915	0%	0%	*hedge
2025-07-18	16	13	virtual swap	AVAX	0	21	18.7410	$23.80	$499.76	UNDEAD	$0.002317	215694	234074		AVAX	0	$23.80	$0.00	234074	0.8113	17.0373	$542.35	$42.59	1915	0%	0%	✅
2025-07-19	17	7	https://snowtrace.io/tx/0x4d1323487cc5831ed5ff7f9f10a3460f926477a2f4e43e9f525ac532da9489da	UNDEAD	115000	0	126500	$0.002173	$249.90	AVAX	$23.65	10.57	10.4808		AVAX	0.001890823472	$23.65	$0.04	10.4808	0.8113	8.5031	$247.87	-$2.02	2191	0%	0%	*hedge
2025-07-19	18	14	virtual swap	AVAX	0	21	18.7410	$23.65	$496.65	UNDEAD	$0.002173	228554	218615		AVAX	0	$23.65	$0.00	218615	0.8113	17.0373	$475.05	-$21.60	2191	0%	0%	✅
2025-07-20	19	15	virtual swap	AVAX	0	13.9	12.4048	$25.45	$353.72	AVAX	$0.002226	158904	160575		AVAX	0	$25.45	$0.00	160575	0.8113	11.2771	$357.44	$3.72	2291	0%	0%	✅
2025-07-21	20	8	https://snowtrace.io/tx/0xcc3a38fd61cbbd874bc8afd053b49798c2e70b2f184be1431e68a9c3cee79ae7	AVAX	2	0	1.7849	$25.53	$51.07	AVAX	$0.002229	22910	21278		AVAX	0.001000070781	$25.53	$0.03	21278	0.8113	1.6226	$47.43	-$3.64	2448	0%	0%	✅
