opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-12-07	1	1	https://hashscan.io/mainnet/transaction/1765114733.599354000	n/a	HBAR	Hedera	18506	0	$0.1334	$2468.70	20356.6	BTC	Hedera	0.02735	0	$89351.00	$2443.75
2026-02-25	2	0	virtual swap	2026-03-17	BTC	Hedera	0	0.049605094	$73860.00	$3663.83	0.054565605	HBAR	Hedera	37194	0	$0.0985	$3663.83
2026-03-09	3	0	https://hashscan.io/mainnet/transaction/1766210429.858169000	n/a	HBAR	Hedera	18000	0	$0.1098	$1976.40	19800	BTC	Hedera	0.02258	0	$88368.00	$1995.35
2026-03-09	4	2	virtual swap	n/a	BTC	Avalanche	0	0.04565	$88368.00	$4034.00	0.050215002	HBAR	Hedera	35158	0	$0.1098	$3860.35
2026-01-12	5	0	https://hashscan.io/mainnet/transaction/1768276622.259919000	n/a	HBAR	Hedera	4400	0	$0.1156	$508.64	4840	BTC	Hedera	0.00554	0	$90711.00	$502.54
2026-01-12	6	2	virtual swap	n/a	BTC	Avalanche	0	0.011	$90711.00	$997.82	0.0121	HBAR	Hedera	8614	0	$0.1156	$995.78
2026-02-25	7	0	virtual swap	n/a	HBAR	Hedera	0	39953	$0.0999	$3991.30	43948.3	BTC	Hedera	0.0594	0	$66260.00	$3935.84
2026-02-25	8	2	virtual swap	n/a	BTC	Avalanche	0	0.029	$66260.00	$1921.54	0.0319	HBAR	Hedera	19511	0	$0.0999	$1949.15
