opened	open	close	tx_id	from	amount1	virtual	10% gain	quote1	val1	to	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	val2	diff	δ
2025-08-24	18	4	virtual swap	ETH	0.0000	0.6360	0.6996	$4,810.58	$3,059.53	BTC	$114,701.00	0.000000	0.026586		AVAX	0.0000000	$25.83	$0.00	0.026586	$3,049.46	-$10.07	-3.534
2025-08-25	19	0	virtual swap	BTC	0.000000	0.012174	0.0134	$111,395.00	$1,356.12	ETH	$4,609.46	0.00000	0.30588		AVAX	0.0000000	$24.18	$0.00	0.30588	$1,409.94	$0.00	-2.905
2025-08-25	20	5	virtual swap	ETH	0.0000	0.6900	0.7590	$4,609.46	$3,180.53	BTC	$111,395.00	0.028552	0.027467		AVAX	0.0000000	$24.18	$0.00	0.027467	$3,059.65	-$120.88	-2.905
2025-08-29	21	0	https://snowtrace.io/tx/0x0834138bf58fb33ec870503f26ddd9e64600a7dadaa877455c060808ff7d6054	BTC	0.013850	0	0.0152	$108,078.00	$1,496.88	ETH	$4,328.55	0.34582	0.34463		AVAX	0.0007195	$23.49	$0.02	0.34463	$1,491.76	-$5.12	-0.954
2025-08-29	22	5	virtual swap	ETH	0.0000	0.6960	0.7656	$4,328.55	$3,012.67	BTC	$108,078.00	0.027875	0.027467		AVAX	0.0000000	$23.49	$0.00	0.027467	$2,968.54	-$44.13	-0.954
2025-08-31	23	0	https://snowtrace.io/tx/0x3eee16643e4cf109dccc0f3cd90dba2b052fedfcdcd5f9534bb133114370559a	BTC	0.006407	0	0.0070	$108,355.00	$694.21	ETH	$4,471.07	0.15527	0.16499		AVAX	0.0031183	$23.61	$0.07	0.16499	$737.70	$43.49	-0.954
2025-08-31	24	5	https://snowtrace.io/tx/0xfa7fbc96ab2f9d6b9a3a0316b980d26ae181e4d23e028906e804320ad640e14d	ETH	0.3432	0	0.3775	$4,471.07	$1,534.55	BTC	$108,355.00	0.014162	0.013673		AVAX	0.0020900	$23.61	$0.05	0.013673	$1,481.58	-$52.97	-0.954
2025-09-01	25	0	https://snowtrace.io/tx/0x6b0cef4abe20f0d45e247500caacad8c135628b1708ce709f1ea3ca9663c5e52	BTC	0.001827	0	0.0020	$108,776.00	$198.77	ETH	$4,393.12	0.04525	0.04700		AVAX	0.0037651	$23.50	$0.09	0.04700	$206.46	$7.69	-1.109
2025-09-01	26	5	https://snowtrace.io/tx/0x4a8d122703457f42b40352a76e373765c908c0a5080e3e0044220b09c861088b	ETH	0.0984	0	0.1083	$4,393.12	$432.36	BTC	$108,776.00	0.003975	0.003794		AVAX	0.0051810	$23.50	$0.12	0.003794	$412.75	-$19.62	-1.109
2025-09-30	27	0	https://snowtrace.io/tx/0x24e0308a0bbc1d27740ba9beebf713c6e773ef8a0b2f2b055d29b57eb349d9e7	ETH	0.120704	0	0.1328	$4,162.11	$502.38	BTC	$113,056.00	0.00444	0.00427		AVAX	0.0058245	$29.62	$0.17	0.00427	$482.69	-$19.70	0.557
2025-09-30	28	0	https://snowtrace.io/tx/0xdef66cbfea4687eff8390728557a07b9697dc15927de51d0819e07aa5bc71963	BTC	0.0087	0	0.0096	$113,056.00	$987.15	ETH	$4,162.11	0.237174	0.230543		AVAX	0.0044041	$29.62	$0.13	0.230543	$959.54	-$27.60	0.557
2025-10-05	29	0	https://snowtrace.io/tx/0x8807fcc58e4f20c4808c8b6b8233bd343ad3892389a230db76acc4ea097dbfd1	ETH	0.000000	0.1106145219	0.1217	$4,547.28	$503.00	BTC	$123,261.00	0.004081	0.00395		AVAX	0.0033790	$29.81	$0.10	0.00395	$486.96	-$16.03	0.312
2025-10-05	30	0	https://snowtrace.io/tx/0x8d8cbeffc310573f7fca1a9d42b8916c61d8c6983ad3af45b6273cf46ea81667	BTC	0.0000	0.00405099	0.0045	$123,261.00	$499.33	ETH	$4,547.28	0.109808	0.106993		AVAX	0.0029985	$29.81	$0.09	0.106993	$486.53	-$12.80	0.312
2025-10-10	31	0	virtual swap	BTC	0.0000	0.0089	0.0098	$112,464.00	$1,000.93	ETH	$3,802.00	0.263264	0.264348		AVAX	0.0000000	$26.50	$0.00	0.264348	$1,005.05	$4.12	0.863
2025-10-10	32	0	virtual swap	ETH	0.000000	0.132	0.1452	$3,802.00	$501.86	BTC	$112,464.00	0.00446	0.00444		AVAX	0.0000000	$26.50	$0.00	0.00444	$499.60	-$2.26	0.863
