date	blockchain	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	HBAR	HBAR quote	HBAR $	HBAR %	factor γHBAR	γHBAR	total	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff
2026-02-25	Hedera	0.08760	$66,260.00	$5,804.38	50.57%	1,196	104.75	56,798.00	$0.0999	$5,674.12	49.43%	0.001785	101.40	206.15	3630.53	$11,478.50	$415.26	$688.64	$12,167.14	$10,700.92	$1,466.22
2026-01-12	Hedera	0.02812	$90,711.00	$2,550.79	19.94%	1,196	33.62	88,609.00	$0.1156	$10,243.20	80.06%	0.001785	158.19	191.81	5663.89	$12,793.99	$0.00	$273.39	$13,067.38	$13,399.68	-$332.30
2025-12-19	Hedera	0.02258	$88,368.00	$1,995.35	16.34%	1,196	27.00	93,009.00	$0.1098	$10,212.39	83.66%	0.001785	166.04	193.04	5945.14	$12,207.74	$273.39	$273.39	$12,481.12	$12,887.36	-$406.24
2025-12-07	Hedera	0.02735	$89,351.00	$2,443.75	33.00%	1,196	32.70	37,194.00	$0.1334	$4,961.68	67.00%	0.001785	66.40	99.10	2377.44	$7,405.43	$0.00	$0.00	$7,405.43	$7,405.43	$0.00
