date	BNB	BNB quote	BNB $	BNB %	factor γBNB	γBNB	LTC	LTC quote	LTC $	LTC %	factor γLTC	γLTC	LINK	LINK quote	LINK $	LINK %	factor γLINK	γLINK	total γ	Total	Total without trades	diff
2024-12-12	0.8606	$723.00	$622.21	39.58%	38.69	33.30	4.1630	$120.80	$502.89	31.99%	6.49	27.02	16.1126	$27.75	$447.12	28.44%	1.48	23.85	84.16	$1,572.23	$1,581.04	-$8.81
2024-12-11	0.8626	$691.34	$596.35	54.20%	75.19	64.86	3.8611	$115.51	$446.00	40.53%	11.21	43.29	2.4437	$23.72	$57.96	5.27%	2.06	5.04	113.18	$1,100.31	$989.92	$110.39
2024-12-03	1.0337	$646.81	$668.61	67.01%	75.19	77.72	1.8369	$122.08	$224.25	22.47%	11.21	20.60	4.2479	$24.70	$104.92	10.52%	2.06	8.76	107.07	$997.78	$936.47	$61.31
2024-12-02	0.8353	$638.80	$533.59	55.51%	75.19	62.80	1.8369	$122.08	$224.25	23.33%	11.21	20.60	9.6177	$21.15	$203.41	21.16%	2.06	19.83	103.23	$961.25	$902.82	$58.43
2024-11-29	0.4836	$657.59	$318.01	36.36%	75.19	36.36	2.8979	$98.06	$284.17	32.49%	11.21	32.49	15.1100	$18.03	$272.43	31.15%	2.06	31.15	100.00	$874.61	$874.61	$0.00
