name	old addy	addy	activated	BTC	BTC quote	BTC $	ETH	ETH quote	ETH $	BNB	BNB quote	BNB $	AVAX	AVAX quote	AVAX $	QI	QI quote	QI $	UNDEAD	UNDEAD quote	UNDEAD $	TVL
ETH-BTC pool	n/a	0x97796a6ee7b185C991C4247b2dba943653BEa5b6	2024-11-09	0	$91,048.00	$0.00	1.1336	$3,120.47	$3,537.36	0	$633.50	$0.00	0	$36.94	$0.00	0	$0.0157	$0.00	0	$0.01016	$0.00	$3,537.36
ETH-BTC inv	n/a	0x323f7D245830Ae6230BEfAF6F6313F3395774765	2024-11-09	0	$91,048.00	$0.00	0.04	$3,120.47	$124.82	0	$633.50	$0.00	0	$36.94	$0.00	0	$0.0157	$0.00	204326	$0.01016	$2,076.81	$2,201.63
ETH-BTC reserve	n/a	0xD0037572b3906e79F2F87CF47F65DDeBdE46Cc33	2024-11-10	0	$91,048.00	$0.00	0.04	$3,120.47	$124.82	0	$633.50	$0.00	0	$36.94	$0.00	0	$0.0157	$0.00	0	$0.01016	$0.00	$124.82
