date	blockchain	HBAR	HBAR quote	HBAR $	HBAR %	factor γHBAR	γHBAR	USDC	USDC quote	USDC $	USDC %	factor γUSDC	γUSDC	total	γADJ	Total	Total without trades	diff
2025-12-15	Hedera	6700	$0.1190	$797.32	88.14%	0.02917800	195.50	107.26	$1.00	$107.26	11.86%	0.13263	14.23	209.72	89.60	$904.59	$1,059.12	-$154.53
2025-10-30	Hedera	6055	$0.1932	$1,169.86	70.34%	0.02917800	176.68	493.24	$1.00	$493.24	29.66%	0.13263	65.42	242.10	106.31	$1,663.10	$1,564.36	$98.74
2025-09-22	Hedera	2296	$0.22	$505.18	67.00%	0.02917800	67.00	248.82	$1.00	$248.82	33.00%	0.13263	33.00	100.00	100.00	$753.99	$753.99	$0.00
