date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	total	γadj	Total	Total without trades	diff
2025-12-01	0.145310	$89,617.00	$13,022.25	47.47%	317.49	46.13	4.7548	$3,031.24	$14,412.94	52.53%	10.7390	51.06	97.20	97.20	$27,435.19	$28,229.27	-$794.08
2025-11-28	0.108190	$91,525.00	$10,168.43	50.48%	454.39	50.48	3.2159	$3,035.23	$9,973.77	49.52%	15.0690	49.52	100.00	100.00	$20,142.19	$20,144.94	-$2.75
2025-11-26	0.055800	$86,651.00	$4,835.13	50.04%	896.98	50.05	1.6626	$2,904.08	$4,828.32	49.96%	30.0620	49.98	100.03	100.03	$9,663.45	$9,663.45	$0.00
