date	blockchain	HBAR	HBAR quote	HBAR $	HBAR %	factor γHBAR	γHBAR	UNDEAD	UNDEAD quote	UNDEAD $	UNDEAD %	factor γUNDEAD	γUNDEAD	total	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff
2026-03-30	Hedera	12138	$0.0905	$1,098.15	3.27%	0.00507684	61.62	20270343	$0.001601	$32,449.98	96.73%	0.00010	2005.91	2067.53	82.55	$33,548.13	$0.00	$0.00	$33,548.13	$40,645.45	-$7,097.32
2026-02-27	Hedera	10000	$0.1004	$1,004.00	50.77%	0.00507684	50.77	497500	$0.001957	$973.61	49.23%	0.00010	49.23	100.00	100.00	$1,977.61	$0.00	$0.00	$1,977.61	$1,977.61	$0.00
