date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-08-25	BTC+USDC	BTC	$111,395.00	0.0007	$76.55	0.0001	$9.57	0.0008	$86.12	$86.12
2025-10-07	BTC+USDC	USDt	$1.00	282.4414	$282.44	35.3052	$35.31	317.7466	$317.75	$403.87
