date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-12-19	HBAR+USDC	HBAR	$0.1098	2213.2112	$243.01	277	$30.38	2489.86	$273.39	$273.39
2026-02-25	HBAR+USDC	BTC	$66,260.0000	0.0056	$369.12	0.0007	$46.14	0.006267	$415.26	$688.64
