date	pool	token	quote	amount	amount $	paydown	paydown $	sum	BTC $	AVAX $	asUSD	total
2025-08-25	BTC+AVAX	BTC	$111,395.00	0.0007	$78.87	0.0001	$9.86	0.0008	$88.73	$0.00	$88.73	$88.73
2025-10-08	BTC+AVAX	BTC	$124,544.00	0.0041	$510.20	0.0005	$63.77	0.0046	$662.70	$0.00	$573.97	$662.70
2025-10-20	BTC+AVAX	sAVAX	$25.03	18.9564	$474.53	2.3695	$59.32	21.33	$662.70	$533.85	$533.85	$1,196.54
2025-11-05	BTC+AVAX	sAVAX	$20.53	29.63	$608.41	3.7044	$76.05	33.34	$662.70	$1,218.30	$684.46	$1,881.00
2025-12-19	BTC+AVAX	sAVAX	$14.99	53.93	$808.38	6.7410	$101.05	60.67	$662.70	$2,127.73	$909.43	$2,790.43
2026-04-24	BTC+AVAX	AVAX	$9.38	113.50	$1,064.64	14.19	$133.08	127.69	$662.70	$3,325.45	$1,197.72	$3,988.15
2026-06-29	BTC+AVAX	BTC	$59,926.00	0.02401	$1,439.11	0.00	$0.00	0.02401	$2,101.81	$3,325.45	$1,439.11	$5,427.26
2026-06-29	BTC+AVAX	AVAX	$6.50	73.32	$476.58	0	$0.00	73.32000	$2,101.81	$3,802.03	$476.58	$5,903.84
2026-07-12	BTC+AVAX	AVAX	$6.46	92.91976	$600.26	11.61497	$75.03	104.53473	$2,101.81	$4,477.32	$675.29	$6,579.13
