date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-07-14	UNDEAD+USDC	UNDEAD	$0.002499	18756.6439	$46.87	0	$0.00	18756.6439	$46.87	$46.87
2025-07-18	UNDEAD+USDC	USDC	$1.00	42.1812	$42.18	0	$0.00	42.1812	$42.18	$89.05
2025-07-19	UNDEAD+USDC	USDC	$1.00	42.6730	$42.67	0	$0.00	42.6730	$42.67	$131.73
2025-07-21	UNDEAD+USDC	USDC	$1.00	99.9420	$99.94	0	$0.00	99.9420	$99.94	$231.67
2025-08-04	UNDEAD+USDC	USDC	$1.00	1607.4120	$1,607.41	200.9265	$200.93	1808.3385	$1,808.34	$2,040.01
2025-08-12	UNDEAD+USDC	UNDEAD	$0.009379	42223.1891	$396.01	5278	$49.50	47501	$445.51	$2,485.52
2025-08-15	UNDEAD+USDC	UNDEAD	$0.004114	106359.1105	$437.56	13295	$54.70	119654	$492.26	$2,977.78
2025-09-05	UNDEAD+USDC	UNDEAD	$0.002930	64489.2159	$188.95	8061	$23.62	72550	$212.57	$3,190.35
2025-12-12	UNDEAD+USDC	UNDEAD	$0.001400	507918.3360	$711.09	63490	$88.89	571408	$799.97	$3,990.32
